upc,store,qty,price,name,datetime
616960147961,252,7,399,ST SAM GLXY S7 S930C,2018-04-12 18:03:03.712192
616960147961,262,4,399,ST SAM GLXY S7 S930C,2018-04-12 18:03:03.712320
616960147961,302,3,399,ST SAM GLXY S7 S930C,2018-04-12 18:03:03.712504
616960147961,352,5,399,ST SAM GLXY S7 S930C,2018-04-12 18:03:03.712630
616960147961,833,4,399,ST SAM GLXY S7 S930C,2018-04-12 18:03:03.712857
616960152163,82,2,399,TW SAM GLXY S7 S930C,2018-04-12 18:03:03.712973
616960152163,188,2,399,TW SAM GLXY S7 S930C,2018-04-12 18:03:03.713109
616960152163,196,0,399,TW SAM GLXY S7 S930C,2018-04-12 18:03:03.713287
616960152163,216,2,399,TW SAM GLXY S7 S930C,2018-04-12 18:03:03.713401
616960152163,222,3,399,TW SAM GLXY S7 S930C,2018-04-12 18:03:03.713515
616960152163,233,3,399,TW SAM GLXY S7 S930C,2018-04-12 18:03:03.713629
616960152163,237,3,399,TW SAM GLXY S7 S930C,2018-04-12 18:03:03.713765
616960152163,262,3,399,TW SAM GLXY S7 S930C,2018-04-12 18:03:03.713879
616960152163,302,3,399,TW SAM GLXY S7 S930C,2018-04-12 18:03:03.713991
616960152163,352,3,399,TW SAM GLXY S7 S930C,2018-04-12 18:03:03.714194
817427016138,82,0,15,OT INST SUN SHADE,2018-04-12 18:03:03.714327
817427016138,188,0,15,OT INST SUN SHADE,2018-04-12 18:03:03.714454
817427016138,196,0,15,OT INST SUN SHADE,2018-04-12 18:03:03.714610
817427016138,216,3,50,OT INST SUN SHADE,2018-04-12 18:03:03.714726
817427016138,222,0,15,OT INST SUN SHADE,2018-04-12 18:03:03.714857
817427016138,224,2,50,OT INST SUN SHADE,2018-04-12 18:03:03.714994
817427016138,233,0,15,OT INST SUN SHADE,2018-04-12 18:03:03.715151
817427016138,237,2,50,OT INST SUN SHADE,2018-04-12 18:03:03.715349
817427016138,252,0,15,OT INST SUN SHADE,2018-04-12 18:03:03.715474
817427016138,262,0,15,OT INST SUN SHADE,2018-04-12 18:03:03.715642
817427016138,302,0,15,OT INST SUN SHADE,2018-04-12 18:03:03.715761
817427016138,833,0,15,OT INST SUN SHADE,2018-04-12 18:03:03.715874
887157016395,82,3,148,SPYPOINT SOLAR-W,2018-04-12 18:03:03.716006
887157016395,122,3,148,SPYPOINT SOLAR-W,2018-04-12 18:03:03.716154
887157016395,188,2,148,SPYPOINT SOLAR-W,2018-04-12 18:03:03.716272
887157016395,196,1,35,SPYPOINT SOLAR-W,2018-04-12 18:03:03.716386
887157016395,216,2,35,SPYPOINT SOLAR-W,2018-04-12 18:03:03.716499
887157016395,222,3,148,SPYPOINT SOLAR-W,2018-04-12 18:03:03.716611
887157016395,233,0,35,SPYPOINT SOLAR-W,2018-04-12 18:03:03.716824
887157016395,237,3,100,SPYPOINT SOLAR-W,2018-04-12 18:03:03.717013
